gene	s_10	s_11	s_12	s_13	s_2	s_20	s_21	s_22	s_25	s_26	s_27	s_29	s_3	s_30	s_4	s_5	s_9
myo5b	10.6375651689163	10.8250327656932	10.5146875164826	10.3479540630144	10.4137590732877	10.3513343703329	10.3302133505323	10.6989482364027	10.0801738096523	9.39749512574552	10.223012630566	10.1240944235071	10.5227167799356	10.0822155012264	10.8731155211167	10.3860158075138	10.4292063638835
nampt	10.7042752835177	11.1100821558246	10.5405829186884	10.9969084699816	11.2332092732935	10.4373014797191	11.0003007955998	10.6144204008345	10.6245892003071	10.4544442558897	10.5617884632224	10.6759843454835	11.081419984003	10.493977658498	11.4276387451658	11.1019550675566	11.0660192976657
ncoa7	9.46104894784652	9.39274716722606	9.5880504750878	9.36261797243736	9.2508720900665	9.60425513144406	9.07922312121993	9.70368630093449	9.49099875182705	9.32335254734416	9.76870227464068	9.90114327640327	9.34288772150636	10.188734216849	8.622091834727	9.3489280736888	9.30047632141197
ndst1	8.79910751313158	8.48075032210202	8.50866028385232	8.71819277244347	8.41538229805599	8.56340191737002	8.34802759838014	8.58193798141307	8.74762062904001	8.66120603152868	8.75310092958006	8.78422320077535	8.4052906389497	8.72950687825635	7.97721771997642	8.43734531268475	8.45322868956532
nedd4	10.6647666165552	10.375477787097	10.7208275984464	10.6182905898038	11.3156811073976	11.0757604004714	10.4215855441694	10.4789544495407	10.2390649414334	9.81627025651999	10.2741208559196	10.9886481300093	10.8586393673457	10.3865136338527	11.6463085172613	10.7595577283406	10.445589923065
ngef	8.73341419177541	9.18878432594904	8.80872288494654	8.50177932930185	8.67778925400035	8.76444927359567	8.4336133946076	9.05863087759438	8.36805357128319	7.9320923886893	8.10851452746555	8.29669866543629	8.47861206499029	8.3306828686651	9.84698717116463	8.72852488271054	8.71234569331158
nhlrc2	8.57026598740647	8.47673268102232	8.59634223927244	8.69288581644912	8.26524289016899	8.69151364745587	8.64604366890142	8.6514798227297	8.46726994471891	8.90857185846389	8.75663900861075	9.02869096480358	8.33673171891274	8.69584690499486	7.82185557170108	8.43734531268475	8.39514637797
nil1fm	9.427007336281	9.51224026685199	9.72507301110565	8.99115720740818	9.95960557271655	9.4125430391863	9.43463844519722	9.39922401288965	9.10890054058314	9.17872168238779	9.57523483604429	9.25482998116638	9.57198374134337	9.19227317318471	10.0800776982399	9.55636971986057	9.64951000301174
nox1	11.1279051335927	11.4297428611101	10.8375855036035	11.2776331271216	11.8030962341496	10.9539049922732	10.7624959031366	10.6298524800851	10.7520582523262	10.8882229932126	11.1742782807441	10.6907276604883	11.8583687356527	10.6492582087845	12.3412721101803	11.3701043466034	11.1234658753662
noxo1	10.0445149575879	10.4633416426401	10.8007659620914	10.433754664282	11.4452563568944	10.1114901987886	10.8556927688244	10.3018354849965	10.5908785291015	11.1140364523221	10.5777465665812	10.0300493571139	10.9341710029096	9.6577034529912	11.8941091928196	10.8138364527542	10.5643648109542
nrbp2	9.27639235742064	9.89835605576328	9.38226174929749	10.1741117111195	9.27968448236157	10.3363142464833	9.72715475285107	9.89632292590912	10.3086156139009	9.77200863848684	10.0305024415495	9.84780789395831	9.64729838248274	10.2854180594737	9.07809113983232	9.64367658387299	9.86161777112959
nrg1	7.29345381610394	7.06360886483682	7.09814537361401	7.3037722867577	7.42133477662983	7.42824360420749	7.02684533373312	7.13761705086134	6.97354521581417	6.84440427446784	7.18655601368438	7.09254530038608	7.4310464197476	6.85284289664154	7.58519182991644	7.61844273713847	7.27279420030557
nsmce2	7.48087332090382	7.80781861674868	7.78817791647725	7.7928924482995	7.48224471990569	7.71203846956471	7.82907509923415	7.68196121640979	7.9282834388115	8.08099403331775	7.80870240381251	7.6840219440627	7.53006263138965	7.82036213626808	7.36167871078339	7.58536552032796	7.66015063618826
nuak2	9.56014670991985	9.56189320649612	9.63519314698395	9.71613136412308	10.0576596564762	9.39603832738701	9.71595205749699	9.69880831005044	9.09724956319506	9.61137415580993	9.56724672488937	9.57877199271286	9.75820170439899	9.71444527763732	10.3157736904723	9.87633917987915	9.77427224562313
nudcd1	8.46586762627181	8.46461037942487	8.33290065769229	8.48338582635253	8.29821996904525	8.31998210457633	8.26133847377573	8.40762620279773	8.71355726182654	9.01777904715795	8.38717453708804	8.54307727234048	8.33233314223746	8.52720931728675	7.97721771997642	8.32903643353218	8.30567369106757
nudt22	7.9368175246161	7.99647582825575	7.92660458149937	8.04813852938883	7.85556253148937	8.19974493598377	7.96310138171349	8.15151423510403	8.20738192232913	8.70253518896845	8.12524519485208	8.18984576117315	8.11332650514053	8.31091790543148	7.77620236131645	7.9572381098287	7.86241454679483
p4ha1	9.66310154229687	10.1683430095935	10.0743714238326	9.7192456764876	9.60944183072969	10.1947681871649	10.0111859743439	10.2583505335247	10.2522007910893	10.4899666213961	10.7193372696679	10.6008923209856	9.9906185590985	10.6129722799353	9.88566698466453	9.68915069970599	9.63049420222605
pak1	9.11875228218654	9.06944902603181	9.22971803688873	8.97030852492672	9.26740732379361	8.49860662888087	9.05648558723471	8.6480828614042	8.57269339538201	7.95548541609511	8.89459039627076	8.64222676563888	8.95853919497092	8.91299315432748	9.29537712588807	9.1218460080498	9.0566940696102
pcgf2	8.18145210715212	8.05216880474933	8.17241371659139	8.31854998662102	7.94785892496195	8.43068156191882	8.22967710741372	8.26771964781057	8.37781118565458	8.41766353095807	8.31169414880446	8.34956246737295	8.15898105995088	8.35017213744992	7.68825287324292	8.12444461635344	8.06755810310717
